锂电池型号,电芯品牌,电压(V),容量(Ah),尺寸(mm),总重量(kg),模组串并联方式,适用叉车型号,单体电芯容量(Ah),模组配置(串S并P联）,对应铅酸电池电压(V),含配重(kg),电池详情,长(mm),宽(mm),高(mm),锂电池型号编码,电芯品牌编码
F48690CM,EVE,51.2,690.0,1150x1143x571.5,1860.0,N/A,Yale ERC100VH,230,16S3P,48,1381,"型号：F48690CM叉车项目； 电芯：亿纬230Ah ，组合方式：16S3P； 电压：51.2V ；容量：690Ah； 电量：35.328KWh，箱体尺寸：1150*1143*571.5mm，配重1381KG，总重1860KG，加顶盖, 配4G模块和加热功能，充电头：Anderson Euro 320A-Female A系列  (与Ecotech适配通讯,48Li-20kW-34)，放电插头：Anderson SB350 Blue ， 屏幕线3米； BMS-自研。（叉车型号：Yale ERC100VH）",1150.0,1143.0,571.5,1247,0
F80420E,EVE,80.0,420.0,1009x679x776,,N/A,N/A,105,25S4P,80,-,型号：F80420D叉车项目： 电芯：EVE105Ah ，组合方式：25S4P 电压：80V 容量：420Ah 电量：33.6KWh（箱体尺寸：1009*679*776mm）带配。,1009.0,679.0,776.0,1366,0
F36690H,EVE,38.4,690.0,980x413x780,,N/A,N/A,230,12S3P,36,-,型号：F36690H叉车项目： 电芯：EVE230Ah ，组合方式：12S3P 电压：38.4V 容量：690Ah 电量：26.496KWh（箱体尺寸：980*413*780mm）,980.0,413.0,780.0,559,0
F80840Y,瑞浦,83.2,840.0,1030x805x770,1835.0,N/A,Tiger Tractor,280,26S3P,80,1250,"型号：F80840Y叉车项目； 电芯：瑞浦280Ah ；组合方式：26S3P ；电压：83.2V； 容量：840Ah； 电量：69.888KWh（箱体最大尺寸： 1030*805*770mm）配重1250kg，总重量：1835KG，带4G.,带加热 ,加顶盖，屏幕线3米，放电插头：REMA 320 Female,自研BMS。（叉车型号：TIGER TRACTOR)",1030.0,805.0,770.0,1523,1
F80840S-A,瑞浦,80.0,840.0,1009x831x749,2131.0,N/A,Linde E35HL/50P,280,25S3P,80,1567,"型号：F80840S-A叉车项目； 电芯：瑞浦280Ah ；组合方式：25S3P ；电压：80V； 容量：840Ah； 电量：67.2KWh（箱体最大尺寸： 1009*831*749mm）配重1567kg，总重量：2131KG，加顶盖，带4G模块带加热功能，内置灭火器;充电头：Anderson Euro 320 / Female A系列;放电插头：Anderson EBC 320A;做双插头，充电电流400A, 与Ecotec 适配:  DUAL PLUG Ecotec Charger (CA80-1000-34SFC)；自研BMS。（叉车型号：Linde E35HL/50P）",1009.0,831.0,749.0,1519,1
F48460EA-A,EVE,51.2,460.0,-,,N/A,Xe BT,230,16S2P,48,-,型号：F48460EA-A叉车项目（SKD）： 电芯：EVE230Ah ，组合方式：16S2P， 电压：51.2V， 容量：460Ah ，电量：23.552KWh，无需电池箱，无需充电加热，带4G和灭火装置，充电线5M放电线长1.3M，屏幕线5M，自研BMS。（叉车型号：Xe BT ）,,,,950,0
F48560EF,瑞浦,51.2,560.0,1212x419x784,1055.0,N/A,Toyota BT RRE 200,280,16S2P,48,663,型号：F48560EF车项目： 电芯：瑞浦LF280Ah， 组合方式：16S2P ，电压：51.2V， 容量：560Ah ，电量：28.672KWh，箱体尺寸：1212*419*784mm，配重663KG，总重量：1055KG，不带加热，带4G，放电插头 REMA DIN 320A 母头，放电线长1.8米，BMS-自研。（叉车型号：BT RRE 200）,1212.0,419.0,784.0,1107,1
F24210AR,EVE,25.6,210.0,650x200x520,,N/A,N/A,105,8S2P,24,0,型号：F24210AR叉车项目： 电芯：EVELF105 组合方式：8S2P 电压：25.6V 容量：210Ah 电量：5.37KWh（650*200*520mm），不带配重，不带加热功能，带4G模块，BMS-自研。,650.0,200.0,520.0,119,0
F72280B(A箱),瑞浦,73.6,280.0,1300x300x340,,N/A,N/A,280,23S1P,72,-,"型号：F72280B叉车项目： 电芯：瑞浦280Ah 组合方式：23S1P 电压：73.6V 容量：280Ah 电量：20.608KWh（A箱尺寸： 1300*300*340mm，B箱尺寸：705.6*310*340）,A/B串联方案，BMS-自研。",1300.0,300.0,340.0,1304,1
F48560AU,瑞浦,51.2,560.0,1000x980x520,1119.0,N/A,N/A,280,16S2P,48,744,型号：F48560AU 叉车项目： 电芯：瑞浦280Ah 组合方式：16S2P 电压：51.2V 容量：560Ah 电量：28.762KWh。（箱体尺寸： 1000×980×520mm) 带配重，总重量：1119kg，铁块重量744kg，带4G模块，带加热，BMS-自研。,1000.0,980.0,520.0,1023,1
F36690BQ,瑞浦,38.4,690.0,985x541x612,726.0,N/A,Toyota 8FBE15U,230,12S3P,36,523,型号：F36690BQ叉车项目： 电芯：瑞浦230Ah ，组合方式：12S3P 电压：38.4V 容量：690Ah 电量：26.496KWh（箱体尺寸：985*541*612mm）配重523KG，总重量：726KG，带4G模块，带加热功能，BMS-自研。（叉车型号Toyota 8FBE15U）,985.0,541.0,612.0,519,1
